19716,applejack,,{"SMIRNOFF ICE CHERRY LIME 6PK"},{/beer/product/24692-SMIRNOFF-ICE-CHERRY-LIME-6PK},,,{$7.99},2013-12-21 20:45:57.298338,,
19717,applejack,,{"SMIRNOFF ICE CRAN-LIME 6PK"},{/beer/product/23151-SMIRNOFF-ICE-CRAN-LIME-6PK},,,{$7.99},2013-12-21 20:45:57.314957,,
19728,applejack,,{"BUDWEISER PROJECT 12 12PK"},{/beer/product/28715-BUDWEISER-PROJECT-12-12PK},,,{$13.99},2013-12-21 20:45:57.778466,,
5375,applejack,,{"SHOCKTOP PUMPKIN 6PK"},{/beer/product/26112-SHOCKTOP-PUMPKIN-6PK},,,{$8.49},2013-12-21 20:46:00.623096,,
19758,applejack,,{"SIERRA NEVADA CELEBRATION 6PK"},{/beer/product/22821-SIERRA-NEVADA-CELEBRATION-6PK},,,{$8.49},2013-12-21 20:46:00.665646,,
5405,applejack,,{"COORS LIGHT ALUMINUM BOTTLE 9PK"},{/beer/product/24034-COORS-LIGHT-ALUMINUM-BOTTLE-9PK},,,{$11.99},2013-12-21 20:46:03.797685,,
19829,applejack,,{"SAM ADAMS WINTER FAVORITES 12PK"},{/beer/product/6926-SAM-ADAMS-WINTER-FAVORITES-12PK},,,{$15.99},2013-12-21 20:46:06.166187,,
19842,applejack,,{"COPPER KETTLE SNOWED IN 22OZ"},{/beer/product/3852-COPPER-KETTLE-SNOWED-IN-22OZ},,,{$17.99},2013-12-21 20:46:06.53389,,
5482,applejack,,{"SAM ADAMS LAGER 12PK BTLS"},{/beer/product/4679-SAM-ADAMS-LAGER-12PK-BTLS},,,{$15.99},2013-12-21 20:46:07.873537,,
19869,applejack,,{"SAM ADAMS LAGER 6PK"},{/beer/product/3241-SAM-ADAMS-LAGER-6PK},,,{$8.99},2013-12-21 20:46:07.906195,,
19878,applejack,,{"SAINT ARNOLD ENDEAVOR 22OZ"},{/beer/product/3696-SAINT-ARNOLD-ENDEAVOR-22OZ},,,{$6.99},2013-12-21 20:46:09.04177,,
19883,applejack,,{"RENEGADE HAMMER AND SICKLE 4PK"},{/beer/product/297-RENEGADE-HAMMER-AND-SICKLE-4PK},,,{$11.99},2013-12-21 20:46:09.22261,,
5600,applejack,,{"PYRAMID OUTBURST IPA 6PK"},{/beer/product/2534-PYRAMID-OUTBURST-IPA-6PK},,,{$8.49},2013-12-21 20:46:12.513618,,
19958,applejack,,{"EDDYLINE RIVERRUNNER  PALE ALE 6PK"},{/beer/product/28886-EDDYLINE-RIVERRUNNER-PALE-ALE-6PK},,,{$11.99},2013-12-21 20:46:13.899832,,
19978,applejack,,{"PETRUS AGED PALE ALE"},{/beer/product/23402-PETRUS-AGED-PALE-ALE},,,{$20.99},2013-12-21 20:46:14.505839,,
19981,applejack,,{"PARADOX END OF THE BEGINNING NO.1  750ML"},{/beer/product/34-PARADOX-END-OF-THE-BEGINNING-NO-1-750ML},,,{$15.99},2013-12-21 20:46:16.683881,,
19982,applejack,,{"PARADOX SKULLY BARREL NO.7 750ML"},{/beer/product/1460-PARADOX-SKULLY-BARREL-NO-7-750ML},,,{$19.99},2013-12-21 20:46:16.697276,,
19997,applejack,,{"ELEVATION FANBOY 750ML"},{/beer/product/3806-ELEVATION-FANBOY-750ML},,,{$17.99},2013-12-21 20:46:17.734903,,
20010,applejack,,{"FIFTYFIFTY HIGH WEST BARREL"},{/beer/product/26928-FIFTYFIFTY-HIGH-WEST-BARREL},,,{$34.99},2013-12-21 20:46:18.600375,,
15217,applejack,,{"PYRAMID APRICOT 6PK"},{/beer/product/4698-PYRAMID-APRICOT-6PK},,,{$8.49},2013-11-20 17:44:44.676746,,
5119,applejack,,{"TWISTED PINE CRATE OF ALES 12PK"},{/beer/product/5060-TWISTED-PINE-CRATE-OF-ALES-12PK},,,{$16.99},2014-03-10 14:38:25.819874,,
19685,applejack,,{"BUD LIGHT CRANBERITA 12PK CAN"},{/beer/product/3855-BUD-LIGHT-CRANBERITA-12PK-CAN},,,{$13.99},2014-03-10 14:38:26.061077,,
5286,applejack,,{"BUD LIGHT STRAWBERITA 12PK"},{/beer/product/730-BUD-LIGHT-STRAWBERITA-12PK},,,{$13.99},2014-03-10 14:38:26.141482,,
19581,applejack,,{"BRECKENRIDGE AVALANCHE 12PK"},{/beer/product/346-BRECKENRIDGE-AVALANCHE-12PK},,,{$15.99,$14.99},2014-03-10 14:38:26.222348,,
19537,applejack,,{"BOULEVARD NUTCRACKER 6PK"},{/beer/product/19461-BOULEVARD-NUTCRACKER-6PK},,,{$6.99},2014-03-10 14:38:26.303397,,
5331,applejack,,{"SKA MIXED 12PK CAN"},{/beer/product/23407-SKA-MIXED-12PK-CAN},,,{$17.99,$15.99},2014-03-10 14:38:26.464003,,
5547,applejack,,{"DOS XX LAGER 12PK"},{/beer/product/2147-DOS-XX-LAGER-12PK},,,{$13.99},2014-03-10 14:38:28.964206,,
20011,applejack,,{"FIFTYFIFTY MAKERS BARREL"},{/beer/product/26929-FIFTYFIFTY-MAKERS-BARREL},,,{$34.99},2013-12-21 20:46:18.613709,,
20027,applejack,,{"OMMEGANG  WILD AT HEART 750ML"},{/beer/product/3769-OMMEGANG-WILD-AT-HEART-750ML},,,{$17.99},2013-12-21 20:46:18.923056,,
20033,applejack,,{"ODYSSEY HELIOCENTRIC HEFE 6PK"},{/beer/product/1846-ODYSSEY-HELIOCENTRIC-HEFE-6PK},,,{$8.99},2013-12-21 20:46:20.938747,,
20050,applejack,,{"ODYSSEY GHOST DRIFTER PALE 6PK"},{/beer/product/1850-ODYSSEY-GHOST-DRIFTER-PALE-6PK},,,{$8.99},2013-12-21 20:46:21.248333,,
20052,applejack,,{"FOX BARREL PEAR 4PK BTL"},{/beer/product/28337-FOX-BARREL-PEAR-4PK-BTL},,,{$7.49},2013-12-21 20:46:21.828983,,
20113,applejack,,{"NECTAR 500BC DIPA 22OZ"},{/beer/product/3793-NECTAR-500BC-DIPA-22OZ},,,{$8.99},2013-12-21 20:46:25.808351,,
20117,applejack,,{"NB FAT TIRE 12PK BOTTLES"},{/beer/product/2404-NB-FAT-TIRE-12PK-BOTTLES},,,{$16.99,$14.99},2013-12-21 20:46:26.849815,,
20156,applejack,,{"GRAND TETON BLACK CAULDRON 4PK"},{/beer/product/3768-GRAND-TETON-BLACK-CAULDRON-4PK},,,{$9.99},2013-12-21 20:46:29.047121,,
20194,applejack,,{"GUINNESS FOREIGN STOUT 4PK"},{/beer/product/24224-GUINNESS-FOREIGN-STOUT-4PK},,,{$9.99},2013-12-21 20:46:33.540315,,
20262,applejack,,{"HORNSBY AMBER DRAFT CIDER 6PK"},{/beer/product/2-HORNSBY-AMBER-DRAFT-CIDER-6PK},,,{$8.49},2013-12-21 20:46:39.77543,,
20321,applejack,,{"MAGNERS CIDER 6PK"},{/beer/product/23327-MAGNERS-CIDER-6PK},,,{$10.49},2013-12-21 20:46:47.487484,,
20332,applejack,,{"LOST ABBEY GIFT OF MAGI 25OZ"},{/beer/product/22597-LOST-ABBEY-GIFT-OF-MAGI-25OZ},,,{$7.99},2013-12-21 20:46:48.546784,,
20353,applejack,,{"LAGUNITAS SUCKS 6PK"},{/beer/product/3010-LAGUNITAS-SUCKS-6PK},,,{$9.99},2013-12-21 20:46:51.575833,,
5914,applejack,,{"LEFT COAST TRESTLES"},{/beer/product/27295-LEFT-COAST-TRESTLES},,,{$5.99},2013-12-21 20:46:52.796664,,
20380,applejack,,{"LEFT HAND WIDDERSHINS 22OZ"},{/beer/product/3792-LEFT-HAND-WIDDERSHINS-22OZ},,,{$8.99},2013-12-21 20:46:53.904019,,
4924,superiorliquor,WIDMER,BROTHERS BEST,WIDMER--BROTHERS-BEST-12OZ-BOTTLE-12-PACK_p_18358.html,12OZ BOTTLE,12 PACK,$15.99,2013-11-18 16:50:01.203434,,
13469,superiorliquor,GULDEN DRAAK,BREWMASTER ED.,GULDEN-DRAAK--BREWMASTER-ED-BOTTLE-750ML_p_25290.html,BOTTLE,750ML,$24.99,2013-11-20 17:43:53.532649,,
14275,superiorliquor,PETRUS,WINTER #9 ALE,PETRUS--WINTER-9-ALE-BOTTLE-750ML_p_25296.html,BOTTLE,750ML,$12.99,2013-11-20 17:44:07.567966,,
14356,superiorliquor,SKA,MODUS INDIA PALE ALE,SKA--MODUS-INDIA-PALE-ALE-12OZ-BOTTLES-6-PACK_p_25304.html,12OZ BOTTLES,6 PACK,$8.99,2013-11-20 17:44:11.359385,,
14617,applejack,,{"ALESMITH SPEEDWAY STOUT 750ML"},{/beer/product/2611-ALESMITH-SPEEDWAY-STOUT-750ML},,,{$13.99},2013-11-20 17:44:20.204781,,
14620,applejack,,{"ALESMITH WEE HEAVY 750ML"},{/beer/product/2619-ALESMITH-WEE-HEAVY-750ML},,,{$13.99},2013-11-20 17:44:20.233077,,
14652,applejack,,{"AVEC LES BONS VOIEUX"},{/beer/product/28879-AVEC-LES-BONS-VOIEUX},,,{$11.99},2013-12-21 20:45:39.321043,,
14626,applejack,,{"ANCHOR STEAM 13 GAL KEG"},{/beer/product/5672-ANCHOR-STEAM-13-GAL-KEG},,,{$139.99},2013-11-20 17:44:20.355226,,
15045,applejack,,{"SHOCKTOP ALUMINUM BTL 10PK"},{/beer/product/3579-SHOCKTOP-ALUMINUM-BTL-10PK},,,{$13.99},2013-12-21 20:46:00.596983,,
14640,applejack,,{"ALASKAN FREERIDE APA 6PK"},{/beer/product/405-ALASKAN-FREERIDE-APA-6PK},,,{$8.99},2013-11-20 17:44:20.652077,,
14642,applejack,,{"ALASKAN SMOKED PORTER 22OZ"},{/beer/product/7655-ALASKAN-SMOKED-PORTER-22OZ},,,{$9.49},2013-11-20 17:44:20.679286,,
14651,applejack,,{"ASPEN DOUBLE RED ALE 22OZ"},{/beer/product/3578-ASPEN-DOUBLE-RED-ALE-22OZ},,,{$8.99},2013-11-20 17:44:22.119133,,
14674,applejack,,{"VIKING BLOD"},{/beer/product/28611-VIKING-BLOD},,,{$29.99},2013-11-20 17:44:23.046603,,
14731,applejack,,{"UPSLOPE MIXED 12PK CANS"},{/beer/product/3616-UPSLOPE-MIXED-12PK-CANS},,,{$17.99},2013-11-20 17:44:24.948368,,
14760,applejack,,{"BOULEVARD POPUP IPA 6PK"},{/beer/product/9738-BOULEVARD-POPUP-IPA-6PK},,,{$7.99},2013-11-20 17:44:26.004625,,
14768,applejack,,{"BIRRA  BORGO MY ANTONIA 330ML"},{/beer/product/3618-BIRRA-BORGO-MY-ANTONIA-330ML},,,{$8.99},2013-11-20 17:44:26.211684,,
14785,applejack,,{"TWISTED SHOTS POLAR BEAR 4 PACK"},{/beer/product/3226-TWISTED-SHOTS-POLAR-BEAR-4-PACK},,,{$4.99},2013-11-20 17:44:26.599187,,
14819,applejack,,{"BRISTOL WINTER WARLOCK 6PK"},{/beer/product/9062-BRISTOL-WINTER-WARLOCK-6PK},,,{$7.99},2013-11-20 17:44:28.760802,,
14829,applejack,,{"BOULEVARD SMOKESTACK MIX 4PK"},{/beer/product/26757-BOULEVARD-SMOKESTACK-MIX-4PK},,,{$19.99},2013-11-20 17:44:28.921517,,
